id,kind,ja,reading,en,operator,lines,stations,series,status,since,until,species,unit,wikipedia_ja,wikidata,official,note_en,note_ja
m.jr-hokkaido.mojakun,mascot,モジャくん,,Moja-kun,jr-hokkaido,,,,active,,,,,モジャくん,Q11344301,,JR Hokkaido's mascot.,JR北海道のマスコット。
m.aoi-mori-tetsudo.moorii,mascot,モーリー,,Morrie,aoi-mori-tetsudo,,,,active,,,,,,,,Aoimori Railway's mascot.,青い森鉄道のマスコット。
m.sanriku-tetsudo.santetsukun,mascot,さんてつくん,,Santetsu-kun,sanriku-tetsudo,,,,active,,,,,,,,Sanriku Railway's mascot.,三陸鉄道のマスコット。
m.akita-nairiku-jukan-tetsudo.nairikkun,mascot,ないりっくん,,Nairikkun,akita-nairiku-jukan-tetsudo,,,,active,,,,,ないりっくん,,,Akita Nairiku Line's mascot.,秋田内陸線のマスコット。
m.sendaishi.riimo,mascot,リーモ,,Leemo,sendaishi,tozai,,,active,,,,,,,,Mascot of the Sendai Subway Tōzai Line.,仙台市地下鉄東西線のマスコット。
m.aizu-railway.maunchan,mascot,マウンちゃん,,Maun-chan,aizu-railway,,,,active,,,,,,,,Aizu Railway's mascot.,会津鉄道のマスコット。
m.watarase-keikokutetsudo.wasshii,mascot,わっしー,,Wasshī,watarase-keikokutetsudo,,,,active,,,,,,,,"Watarase Keikoku Railway's mascot, わ鐵のわっしー.",わたらせ渓谷鐵道のマスコット「わ鐵のわっしー」。
m.chichibu.pareokun-parenachan,mascot,パレオくん・パレナちゃん,,Paleo-kun & Palena-chan,chichibu,,,,active,,,,,,,,"Chichibu Railway's mascots, from the SL Paleo Express.",秩父鉄道のマスコット。SLパレオエクスプレスにちなむ。
m.seibu.reirukun-sumairuchan,mascot,レイルくん・スマイルちゃん,,Rail-kun & Smile-chan,seibu,,,,active,,,,,,,,Seibu Railway's mascots.,西武鉄道のマスコット。
m.tobu.tobutchi,mascot,とぶっち,,Tobucchi,tobu,,,,active,,,,,とぶっち,Q11273334,,Tobu Railway's mascot.,東武鉄道のマスコット。
m.toyo-rapid.mannachan,mascot,マンナちゃん,,Manna-chan,toyo-rapid,,,,active,,,,,,,,Tōyō Rapid Railway's manners mascot.,東葉高速鉄道のマナーキャラクター。
m.chiba-monorail.monochan,mascot,モノちゃん,,Mono-chan,chiba-monorail,,,,active,,,,,,,,Chiba Urban Monorail's mascot.,千葉都市モノレールのマスコット。
m.keisei.shinchan-keichan,mascot,しんちゃん・けいちゃん,,Shin-chan & Kei-chan,keisei,matsudo,,,retired,,,,,,,,"Mascots of Shin-Keisei, now the Keisei Matsudo Line.",新京成電鉄（現・京成松戸線）のマスコット。
m.keisei.keiseipanda,mascot,京成パンダ,,Keisei Panda,keisei,,,,active,,,,,京成パンダ,Q11374381,,"Keisei group's panda, from the Keisei Card.",京成グループのパンダ。京成カードのキャラクター。
m.tokyo-metro.maakyurii,mascot,マーキュリー,,Mercury,tokyo-metro,,,,retired,,,,,マーキュリー (帝都高速度交通営団),Q11341677,,"Mascot of Eidan, the Teito Rapid Transit Authority, before Tokyo Metro.",東京メトロの前身・営団地下鉄のマスコット。
m.tokyo-metro.metopon,mascot,メトポン,,Metopon,tokyo-metro,,,,active,,,,,,,,"Tokyo Metro's mascot (before it, Metoron).",東京メトロのマスコット（前任はメトロン）。
m.toei.toaran,mascot,とあらん,,Toaran,toei,toden-arakawa,,,active,,,,,,,,Mascot of the Toden Arakawa Line.,都電荒川線のマスコット。
m.tsukuba-express.supiifi,mascot,スピーフィ,,Speefy,tsukuba-express,,,,active,,,,,,,,Tsukuba Express's mascot.,つくばエクスプレスのマスコット。
m.keio.keifutokun-nikochan-shingokun,mascot,けい太くん・にこちゃん・しんごくん,,"Keita-kun, Niko-chan & Shingo-kun",keio,,,,active,,,,,,,,Keio's mascots; Keio's trains since the 6000 series have characters too.,京王電鉄のマスコット。6000系以降の車両にもキャラクターがいる。
m.odakyu.mokoron,mascot,もころん,,Mocoron,odakyu,,,,active,,,,,,,,Odakyu's mascot.,小田急電鉄のマスコット。
m.tokyu.norurun,mascot,のるるん,,Nорурун,tokyu,,,,active,,,,,のるるん,Q17229724,,Tokyu's mascot.,東急電鉄のマスコット。
m.keikyu.keikyuu-doremitan,mascot,けいきゅう♪ドレミたん,,Keikyu Doremi-tan,keikyu,,,,active,,,,,けいきゅう♪ドレミたん,,,"Keikyu's mascot, after the ""doremi"" sound of its old Siemens-inverter trains.",京急のマスコット。ドレミファインバータの音にちなむ。
m.keikyu.keikyun,mascot,けいきゅん,,Keikyun,keikyu,,,,active,,,,,,,,Keikyu's mascot.,京急電鉄のマスコット。
m.tokyo-monorail.monorun,mascot,モノルン,,Monorun,tokyo-monorail,,,,active,,,,,,,,Tokyo Monorail's mascot.,東京モノレールのマスコット。
m.yurikamome.yurimo,mascot,ゆりも,,Yurimo,yurikamome,,,,active,,,,,,,,Yurikamome's mascot.,ゆりかもめのマスコット。
m.twr.rinkaru,mascot,りんかる,,Rinkaru,twr,,,,active,,,,,,,,"Rinkai Line's mascot, chosen by public vote for its 10th anniversary.",りんかい線のマスコット。10周年の公募で決まった。
m.yokohama-subway.hamarin,mascot,はまりん,,Hamarin,yokohama-subway,,,,active,,,,,はまりん,Q17220643,,Yokohama Municipal Subway's (and buses') mascot.,横浜市交通局（地下鉄・バス）のマスコット。
m.minatomirai.emuemusan,mascot,えむえむさん,,MM-san,minatomirai,,,,active,,,,,,,,Minatomirai Line's mascot.,みなとみらい線のマスコット。
