line,official_km,section,source,checked
jr-kyushu.kyushu-shinkansen,288.9,博多～鹿児島中央,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.nishi-kyushu-shinkansen,69.6,武雄温泉～長崎,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.sanyo,6.3,下関～門司,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.kagoshima,281.6,門司港～八代、川内～鹿児島,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.nippo,462.6,小倉～鹿児島,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.nagasaki,148.8,鳥栖～長崎,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.sasebo,48.8,江北～佐世保,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.chikuhi,68.3,姪浜～伊万里,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.sasaguri,25.1,桂川～吉塚,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.miyazaki-kuko,1.4,田吉～宮崎空港,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.chikuho,66.1,若松～原田,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.omura,47.6,早岐～諌早,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.kashii,25.4,西戸崎～宇美,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.karatsu,42.5,久保田～西唐津,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.hitahikosan,68.7,城野～夜明,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.gotoji,13.3,新飯塚～田川後藤寺,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.kyudai,141.5,久留米～大分,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.hohi,148.0,熊本～大分,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.hisatsu,124.2,八代～隼人,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.misumi,25.6,宇土～三角,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.ibusuki-makurazaki,87.8,鹿児島中央～枕崎,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.kitto,61.6,都城～吉松,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-kyushu.nichinan,88.9,南宮崎～志布志,https://www.jrkyushu.co.jp/company/info/data/line_km.html,2026-09-25
jr-hokkaido.hakodate,458.4,函館～旭川、大沼～森,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.nemuro,362.1,滝川～富良野、新得～根室,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.chitose,59.2,白石～沼ノ端、南千歳～新千歳空港,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.muroran,218.0,長万部～岩見沢、室蘭～東室蘭,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.sekisho,132.4,南千歳～新得,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.hokkaido-shinkansen,148.8,新青森～新函館北斗,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.furano,54.8,富良野～旭川,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.soya,259.4,旭川～稚内,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.senmo,166.2,東釧路～網走,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.sekihoku,234.0,新旭川～網走,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.sassho,28.9,桑園～北海道医療大学,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.hidaka,30.5,苫小牧～鵡川,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-hokkaido.kaikyo,87.8,中小国～木古内,https://www.jrhokkaido.co.jp/corporate/company/com_02.html,2026-09-25
jr-central.tokaido-shinkansen,552.6,東京～新大阪,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.tokaido,360.1,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.chuo,174.8,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.gotemba,60.2,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.taita,17.8,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.minobu,88.4,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.kansai,59.9,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.iida,195.7,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.kisei,180.2,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.taketoyo,19.3,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.meisho,43.5,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.takayama,189.2,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-central.sangu,29.1,,https://company.jr-central.co.jp/company/area/,2026-09-25
jr-shikoku.honshi-bisan,18.1,児島～宇多津,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.yosan,327.0,高松～宇和島、向井原～内子、伊予大洲～新谷,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.uchiko,5.3,新谷～内子,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.yodo,76.3,若井～北宇和島,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.kotoku,74.5,高松～徳島,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.dosan,198.7,多度津～窪川,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.naruto,8.5,池谷～鳴門,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.tokushima,67.5,佃～佐古,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-shikoku.mugi,77.8,徳島～阿波海南,https://wwwtb.mlit.go.jp/shikoku/content/000321422.pdf,2026-09-25
jr-west.hokuriku,45.9,米原〜敦賀,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.wakayama,87.5,王寺〜和歌山,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.obama,84.3,敦賀〜東舞鶴,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
jr-west.etsumi-hoku,52.5,越前花堂〜九頭竜湖,https://www.westjr.co.jp/company/info/issue/data/pdf/data2025_08.pdf,2026-09-25
