id,ja,en,n02
jr-hokkaido,JR北海道,JR Hokkaido,北海道旅客鉄道
jr-east,JR東日本,JR East,東日本旅客鉄道
jr-central,JR東海,JR Central,東海旅客鉄道
jr-west,JR西日本,JR West,西日本旅客鉄道
jr-shikoku,JR四国,JR Shikoku,四国旅客鉄道
jr-kyushu,JR九州,JR Kyushu,九州旅客鉄道
tokyo-metro,東京メトロ,Tokyo Metro,東京地下鉄
toei,都営,Toei,東京都
tobu,東武鉄道,Tobu Railway,東武鉄道
tokyu,東急電鉄,Tokyu Railways,東急電鉄
seibu,西武鉄道,Seibu Railway,西武鉄道
keisei,京成電鉄,Keisei Electric Railway,京成電鉄
keikyu,京急電鉄,Keikyu,京浜急行電鉄
keio,京王電鉄,Keio Corporation,京王電鉄
odakyu,小田急電鉄,Odakyu Electric Railway,小田急電鉄
yokohama-subway,横浜市営地下鉄,Yokohama Municipal Subway,横浜市
sotetsu,相鉄,Sotetsu,相模鉄道
tsukuba-express,つくばエクスプレス,Tsukuba Express,首都圏新都市鉄道
chiba-monorail,千葉都市モノレール,Chiba Urban Monorail,千葉都市モノレール
tama-monorail,多摩モノレール,Tama Toshi Monorail,多摩都市モノレール
kantetsu,関東鉄道,Kanto Railway,関東鉄道
kominato,小湊鐵道,Kominato Railway,小湊鐵道
odakyu-hakone,小田急箱根,Odakyu Hakone,小田急箱根
yurikamome,ゆりかもめ,Yurikamome,ゆりかもめ
enoden,江ノ島電鉄,Enoshima Electric Railway,江ノ島電鉄
hokuso,北総鉄道,Hokuso Railway,北総鉄道
seaside-line,横浜シーサイドライン,Yokohama Seaside Line,横浜シーサイドライン
new-shuttle,埼玉新都市交通,Saitama New Urban Transit,埼玉新都市交通
izuhakone,伊豆箱根鉄道,Izuhakone Railway,伊豆箱根鉄道
chichibu,秩父鉄道,Chichibu Railway,秩父鉄道
tokyo-monorail,東京モノレール,Tokyo Monorail,東京モノレール
isumi,いすみ鉄道,Isumi Railway,いすみ鉄道
toyo-rapid,東葉高速鉄道,Toyo Rapid Railway,東葉高速鉄道
saitama-railway,埼玉高速鉄道,Saitama Railway,埼玉高速鉄道
shonan-monorail,湘南モノレール,Shonan Monorail,湘南モノレール
twr,りんかい線,Tokyo Waterfront Area Rapid Transit,東京臨海高速鉄道
minatomirai,みなとみらい線,Yokohama Minatomirai Railway,横浜高速鉄道
yamaman,山万,Yamaman,山万
ryutetsu,流鉄,Ryutetsu,流鉄
disney-resort-line,ディズニーリゾートライン,Disney Resort Line,舞浜リゾートライン
oyama-cable,大山ケーブルカー,Oyama Cable Car,大山観光電鉄
jukkokutoge-cable,十国峠ケーブルカー,Jukkokutoge Cable Car,十国峠
mitake-cable,御岳登山鉄道,Mitake Tozan Railway,御岳登山鉄道
takao-cable,高尾登山電鉄,Takao Tozan Railway,高尾登山電鉄
