id,en,ja
ordinary,Ordinary,普通車
green,Green Car,グリーン車
gran-class,GranClass,グランクラス
premium-green,Premium Green,プレミアムグリーン
a-seat,A-Seat,Aシート
premium,Premium,プレミアム
deluxe,Deluxe Seat,デラックスシート
super-seat,Super Seat,スーパーシート
salon,Salon Seat,サロン席
box-seat,Box Seat,ボックスシート
lounge,Lounge,ラウンジ
private-room,Private Room,個室
cockpit-suite,Cockpit Suite,コックピットスイート
sleeper-a-single-deluxe,A Single Deluxe,A寝台シングルデラックス
sleeper-single,Single,シングル
sleeper-single-twin,Single Twin,シングルツイン
sleeper-sunrise-twin,Sunrise Twin,サンライズツイン
sleeper-solo,Solo,ソロ
nobinobi,Nobinobi Seat,ノビノビ座席
standard-seat,Standard Seat,スタンダードシート
premium-seat,Premium Seat,プレミアムシート
compartment,Compartment,コンパートメント
cockpit-lounge,Cockpit Lounge,コックピットラウンジ
