id,operator,en,ja,kind,classes,status,wikidata,checked,source
0,jr-central jr-west,0 Series Shinkansen,0系新幹線,shinkansen,ordinary green,retired,,,draft
100,jr-central jr-west,100 Series Shinkansen,100系新幹線,shinkansen,ordinary green,retired,,,draft
300,jr-central jr-west,300 Series Shinkansen,300系新幹線,shinkansen,ordinary green,retired,,,draft
500,jr-west,500 Series Shinkansen,500系新幹線,shinkansen,ordinary green,active,,,draft
700,jr-central jr-west,700 Series Shinkansen,700系新幹線,shinkansen,ordinary green,active,,,draft
n700,jr-central jr-west jr-kyushu,N700 Series Shinkansen,N700系新幹線,shinkansen,ordinary green,active,,,draft
n700s,jr-central jr-west jr-kyushu,N700S Series Shinkansen,N700S新幹線,shinkansen,ordinary green,active,,,draft
800,jr-kyushu,800 Series Shinkansen,800系新幹線,shinkansen,ordinary,active,,,draft
200,jr-east,200 Series Shinkansen,200系新幹線,shinkansen,ordinary green,retired,,,draft
400,jr-east,400 Series Shinkansen,400系新幹線,shinkansen,ordinary green,retired,,,draft
e1,jr-east,E1 Series Shinkansen,E1系新幹線,shinkansen,ordinary green,retired,,,draft
e2,jr-east,E2 Series Shinkansen,E2系新幹線,shinkansen,ordinary green,retiring,,,draft
e3,jr-east,E3 Series Shinkansen,E3系新幹線,shinkansen,ordinary green,retiring,,,draft
e4,jr-east,E4 Series Shinkansen,E4系新幹線,shinkansen,ordinary green,retired,,,draft
e5,jr-east,E5 Series Shinkansen,E5系新幹線,shinkansen,ordinary green gran-class,active,Q957322,,draft
e6,jr-east,E6 Series Shinkansen,E6系新幹線,shinkansen,ordinary green,active,,,draft
e7,jr-east,E7 Series Shinkansen,E7系新幹線,shinkansen,ordinary green gran-class,active,Q1574848,,draft
w7,jr-west,W7 Series Shinkansen,W7系新幹線,shinkansen,ordinary green gran-class,active,Q1574848,,draft
e8,jr-east,E8 Series Shinkansen,E8系新幹線,shinkansen,ordinary green,active,,,draft
h5,jr-hokkaido,H5 Series Shinkansen,H5系新幹線,shinkansen,ordinary green gran-class,active,Q957322,,draft
103,jr-east,103 series,103系,commuter,ordinary,retired,,,draft
201,jr-east,201 series,201系,commuter,ordinary,retired,,,draft
205,jr-east,205 series,205系,commuter,ordinary,retiring,,,draft
211,jr-east jr-central,211 series,211系,commuter,ordinary,retiring,,,draft
e231,jr-east,E231 series,E231系,commuter,ordinary,active,,,draft
e233,jr-east,E233 series,E233系,commuter,ordinary,active,,,draft
e235,jr-east,E235 series,E235系,commuter,ordinary,active,,,draft
e257,jr-east,E257 series,E257系,limited-express,ordinary green,active,,,draft
e351,jr-east,E351 series,E351系,limited-express,ordinary green,retired,,,draft
e353,jr-east,E353 series,E353系,limited-express,ordinary green,active,,,draft
tokyo-metro-01,tokyo-metro,Tokyo Metro 01 series,営団01系,commuter,ordinary,retired,,,draft
tokyo-metro-02,tokyo-metro,Tokyo Metro 02 series,営団02系,commuter,ordinary,retired,,,draft
tokyo-metro-03,tokyo-metro,Tokyo Metro 03 series,営団03系,commuter,ordinary,retired,,,draft
