service,line,via,stops,wikipedia_ja
svc.jr-east.yamanote,jr-east.tokaido,品川>浜松町>新橋>東京,,
svc.jr-east.yamanote,jr-east.tohoku,東京>上野>田端,,
svc.jr-east.yamanote,jr-east.yamanote,田端>池袋>新宿>品川,,
svc.jr-east.keihin-tohoku,jr-east.tohoku,大宮>浦和>赤羽>王子>上中里>田端>上野>東京,,
svc.jr-east.keihin-tohoku,jr-east.tokaido,東京>新橋>浜松町>品川>大井町>鶴見>東神奈川>横浜,,
svc.jr-east.keihin-tohoku,jr-east.negishi,横浜>大船,all,
svc.jr-east.saikyo,jr-east.yamanote,大崎>新宿>池袋,,
svc.jr-east.saikyo,jr-east.akabane,池袋>赤羽,,
svc.jr-east.saikyo,jr-east.tohoku,赤羽>武蔵浦和>大宮,,
svc.jr-east.saikyo,jr-east.kawagoe,大宮>川越,all,
svc.jr-east.shonan-shinjuku,jr-east.tohoku,宇都宮>大宮,all,
svc.jr-east.shonan-shinjuku,jr-east.takasaki,大宮>高崎,all,
svc.jr-east.shonan-shinjuku,jr-east.tohoku,大宮>浦和>赤羽>王子>上中里>田端,,
svc.jr-east.shonan-shinjuku,jr-east.yamanote,田端>池袋>新宿>大崎>品川,,
svc.jr-east.shonan-shinjuku,jr-east.tokaido,品川>西大井>武蔵小杉>新川崎>鶴見>東神奈川>横浜>保土ヶ谷>戸塚>大船,,
svc.jr-east.shonan-shinjuku,jr-east.yokosuka,大船>逗子,,
svc.jr-east.shonan-shinjuku,jr-east.tokaido,大船>小田原,all,
svc.jr-east.ueno-tokyo,jr-east.tokaido,熱海>小田原>大船,all,
svc.jr-east.ueno-tokyo,jr-east.tokaido,大船>横浜>鶴見>川崎>品川>浜松町>新橋>東京,,
svc.jr-east.ueno-tokyo,jr-east.tohoku,東京>上野>日暮里>尾久>赤羽>浦和>大宮,,
svc.jr-east.ueno-tokyo,jr-east.tohoku,大宮>宇都宮,all,
svc.jr-east.ueno-tokyo,jr-east.takasaki,大宮>高崎,all,
svc.jr-east.ueno-tokyo,jr-east.joban,日暮里>北千住>取手,,常磐快速線
svc.jr-east.ueno-tokyo,jr-east.joban,取手>土浦,all,
svc.jr-east.chuo-rapid,jr-east.chuo,東京>神田>御茶ノ水>四ツ谷>新宿>中野>三鷹>立川>高尾,,
svc.jr-east.chuo-sobu,jr-east.chuo,三鷹>中野>新宿>四ツ谷>御茶ノ水,,
svc.jr-east.chuo-sobu,jr-east.sobu,御茶ノ水>秋葉原>両国>錦糸町>千葉,,
svc.jr-east.yokosuka-sobu,jr-east.yokosuka,久里浜>大船,,
svc.jr-east.yokosuka-sobu,jr-east.tokaido,大船>戸塚>保土ヶ谷>横浜>東神奈川>鶴見>新川崎>武蔵小杉>西大井>品川,,
svc.jr-east.yokosuka-sobu,jr-east.tokaido,品川>新橋>有楽町>東京,,
svc.jr-east.yokosuka-sobu,jr-east.sobu,東京>新日本橋>馬喰町>両国>錦糸町>千葉,,
svc.jr-east.joban-rapid,jr-east.tokaido,品川>浜松町>新橋>東京,,
svc.jr-east.joban-rapid,jr-east.tohoku,東京>上野>日暮里,,
svc.jr-east.joban-rapid,jr-east.joban,日暮里>北千住>取手,,
svc.jr-east.joban-local,jr-east.joban,綾瀬>取手,,
svc.jr-east.utsunomiya,jr-east.tohoku,上野>日暮里>尾久>赤羽>浦和>大宮,,上野東京ライン
svc.jr-east.utsunomiya,jr-east.tohoku,大宮>宇都宮>黒磯,,
svc.jr-east.takasaki,jr-east.tohoku,上野>日暮里>尾久>赤羽>浦和>大宮,,上野東京ライン
svc.jr-east.takasaki,jr-east.takasaki,大宮>高崎,all,
svc.jr-east.musashino,jr-east.musashino,府中本町>西国分寺>西浦和>武蔵浦和>南浦和>新松戸>西船橋,,
svc.jr-east.musashino,jr-east.keiyo,西船橋>南船橋>海浜幕張,all,
svc.jr-east.musashino,jr-east.keiyo,西船橋>二俣新町>新木場>東京,西船橋 市川塩浜 新浦安 舞浜 葛西臨海公園 新木場 潮見 越中島 八丁堀 東京,
svc.tokaido-sanyo,jr-central.tokaido-shinkansen,東京>新大阪,,
svc.tokaido-sanyo,jr-west.sanyo-shinkansen,新大阪>博多,,
svc.sanyo-kyushu,jr-west.sanyo-shinkansen,新大阪>博多,,
svc.sanyo-kyushu,jr-kyushu.kyushu-shinkansen,博多>鹿児島中央,,
svc.tohoku-hokkaido,jr-east.tohoku-shinkansen,東京>新青森,,
svc.tohoku-hokkaido,jr-hokkaido.hokkaido-shinkansen,新青森>新函館北斗,,
svc.yamagata,jr-east.tohoku-shinkansen,東京>福島,,
svc.yamagata,jr-east.ou,福島>新庄,,
svc.akita,jr-east.tohoku-shinkansen,東京>盛岡,all,
svc.akita,jr-east.tazawako,盛岡>大曲,,
svc.akita,jr-east.ou,大曲>秋田,,
svc.joetsu,jr-east.tohoku-shinkansen,東京>大宮,,
svc.joetsu,jr-east.joetsu-shinkansen,大宮>新潟,,
svc.hokuriku,jr-east.tohoku-shinkansen,東京>大宮,,
svc.hokuriku,jr-east.joetsu-shinkansen,大宮>高崎,,
svc.hokuriku,jr-east.hokuriku-shinkansen,高崎>上越妙高,,
svc.hokuriku,jr-west.hokuriku-shinkansen,上越妙高>敦賀,,
